name,category,price,addtime
卡西欧CASIO-经典指针系列 MTP-E108L-7AVDF 商务休闲石英男表,卡西欧,423.75,
" 【特惠商品一口价！不参加用券】卡西欧CASIO-Edifice系列 EFR-304BL-1AVUPF 男士石英表",卡西欧,1290,
卡西欧CASIO-Edifice系列 EFR-303D-1AVUPR 男士石英表,卡西欧,1490,
卡西欧CASIO-G-SHOCK系列 GG-1000-1A3PR （绿色）时尚街头手表户外运动男表,卡西欧,1990,
" 【特惠商品一口价！不参加用券】卡西欧CASIO-G-SHOCK系列 G-5600E-1PR 户外男士手表",卡西欧,1190,
" 【特惠商品一口价！不参加用券】卡西欧CASIO-SHEEN系列 SHE-4048PGL-7AUPR 女士石英表",卡西欧,987.5,
卡西欧CASIO-EDIFICE系列 EF-343BK-1AVPF 防水石英男表,卡西欧,1490,
卡西欧CASIO-时尚系列 MTH-1052L-1AVPR 石英男表,卡西欧,622.5,
卡西欧CASIO-时尚系列 MTP-1303D-1AVDF 石英男表,卡西欧,447.5,
卡西欧G-SHOCK系列 GG-1000-1APR （黑色）潮流时尚运动表,卡西欧,1987.5,
" 【特惠商品一口价！不参加用券】卡西欧 G-SHOCK系列 GA-700-1APR 潮流时尚男表",卡西欧,990,
卡西欧CASIO-SHEEN系列 SHE-3034GL-7AUPR 商务石英女表,卡西欧,1300,
卡西欧CASIO-SHEEN系列 SHE-4048PGL-9AUPR 女士石英表,卡西欧,990,
" 【特惠商品一口价！不参加用券】卡西欧CASIO-BABY-G系列 BGA-240-7APR 潮流运动女表",卡西欧,740,
【特惠商品一口价!不参加用券】卡西欧CASIO-SHEEN系列  SHE-4048PGL-6AUPR 女士石英表,卡西欧,927.5,
卡西欧CASIO-EDIFICE系列 EFR-539BK-1A2VUPF  男士石英表,卡西欧,1690,
卡西欧CASIO-SHEEN系列  SHE-4522D-2AUPR 女士太阳能手表,卡西欧,1677.5,
卡西欧CASIO-时尚系列 MTH-1058D-7AVPF 石英男表,卡西欧,536.25,
卡西欧CASIO-G-SHOCK系列 GG-1000GB-1APR 潮流时尚运动男表,卡西欧,2090,
卡西欧CASIO-SHEEN系列  SHE-4029PGL-7AUPR 女士石英表,卡西欧,990,
" 【特惠商品一口价！不参加用券】卡西欧CASIO-EDIFICE系列 EFB-104SBB-1AVUPR 防水太阳能男表",卡西欧,1490,
卡西欧casio-EDIFICE系列 EQB-501XYDB-1AMPR 蓝牙太阳能男表,卡西欧,2595,
卡西欧CASIO-G-SHOCK系列 GA-710-1A2PR 潮流时尚男表,卡西欧,1012.5,
卡西欧（CASIO）-BABY-G系列 BGD-560-4PR 石英女表,卡西欧,600,
卡西欧CASIO-BABY-G系列 BA-110-4A2PR 石英女表,卡西欧,890,
卡西欧casio-SHEEN系列 SHE-5520PGL-7AUPR 石英女表,卡西欧,1487.5,
卡西欧CASIO-SHEEN系列 SHE-3057PGL-7AUPR 女士石英表,卡西欧,1387.5,
卡西欧CASIO-Edifice系列 ETD-300D-1AVUPR 男士石英表,卡西欧,1397.5,
卡西欧CASIO-时尚系列 MTP-1375L-1AVDF 石英男表,卡西欧,491.25,
卡西欧CASIO-SPORT系列 PRX-2000YT-1D 男士光能表(无货）,卡西欧,12487.5,
卡西欧Casio-EDIFICE系列 EQS-600YDB-1A2UPR 太阳能男表,卡西欧,1865,
卡西欧CASIO-PROTREK系列 PRW-6100YT-1BPR 太阳能运动户外登山男士手表,卡西欧,5287.5,
[瑞士原装正品，全球联保]欧米茄Omega-碟飞系列 424.10.37.20.02.001 机械男表,欧米茄,28500,
[瑞士原装正品，全球联保]欧米茄Omega-碟飞系列 424.13.40.20.02.001 机械男表,欧米茄,26812.5,
[瑞士原装正品，全球联保]欧米茄Omega-海马系列 212.30.41.20.03.001 机械男表,欧米茄,33210,
[瑞士原装正品，全球联保]欧米茄Omega-碟飞系列 424.13.40.20.01.001 机械男表,欧米茄,27500,
[瑞士原装正品，全球联保]欧米茄OMEGA-碟飞系列 424.13.40.20.02.002  机械男表,欧米茄,27500,
欧米茄Omega-星座系列 123.20.24.60.55.001 女士石英表,欧米茄,35465,
欧米茄OMEGA-碟飞系列 424.10.40.20.02.001 机械男表,欧米茄,29212.5,
欧米茄Omega-星座系列 123.20.27.60.08.001 女士石英表,欧米茄,31775,
欧米茄Omega-碟飞系列 424.10.37.20.03.001 机械男表,欧米茄,29212.5,
[瑞士原装正品，全球联保]欧米茄Omega-海马系列 212.30.41.20.01.003 机械男表,欧米茄,33200,
[瑞士原装正品，全球联保]欧米茄OMEGA-碟飞系列 424.13.40.20.03.001 机械男表,欧米茄,27500,
[瑞士原装正品，全球联保]欧米茄Omega-碟飞系列 424.10.37.20.01.001 机械男表,欧米茄,29212.5,
[瑞士原装正品，全球联保]欧米茄Omega-碟飞系列 424.13.40.21.02.001 机械男表,欧米茄,37412.5,
欧米茄Omega-星座系列 123.10.27.60.55.002 女士石英表,欧米茄,25932.5,
欧米茄Omega-星座系列 123.10.35.20.52.001 机械男表,欧米茄,42230,
欧米茄OMEGA-蝶飞系列  424.13.40.21.02.002 机械男表,欧米茄,37412.5,
欧米茄Omega-海马系列 231.10.42.21.03.003 机械男表,欧米茄,45920,
欧米茄Omega-碟飞典雅系列 424.10.33.20.53.001 机械、镶钻女表,欧米茄,31775,
欧米茄Omega-星座系列 123.20.35.20.58.001 机械男表,欧米茄,60475,
欧米茄Omega-星座系列 123.10.35.20.01.001 自动机械男表,欧米茄,33210,
欧米茄OMEGA-碟飞系列 424.10.40.20.02.002 机械男表,欧米茄,29212.5,
欧米茄OMEGA-碟飞系列 424.10.40.20.02.003 机械男表,欧米茄,29212.5,
欧米茄Omega-星座系列 123.10.38.21.51.001 机械男表,欧米茄,56375,
欧米茄Omega-星座系列 123.20.35.20.52.002 机械男表,欧米茄,60475,
欧米茄Omega-蝶飞系列 424.10.27.60.52.001 石英女表,欧米茄,25112.5,
欧米茄Omega-超霸系列 326.32.40.50.01.001 机械男表,欧米茄,35465,
欧米茄OMEGA-蝶飞系列  424.23.40.21.58.001 机械男表,欧米茄,56887.5,
欧米茄Omega-星座系列 123.20.27.60.55.001 女士石英表,欧米茄,37720,
欧米茄Omega-星座系列 123.20.35.20.02.002 机械男表,欧米茄,51352.5,
欧米茄Omega-星座系列 123.20.35.20.52.001 机械男表,欧米茄,60475,
欧米茄Omega-碟飞系列 424.13.40.21.01.001 机械男表,欧米茄,37412.5,
欧米茄Omega-星座系列 123.10.38.21.02.003 机械男表,欧米茄,45510,
欧米茄Omega-星座系列 123.10.35.20.02.002 机械表,欧米茄,33210,
欧米茄Omega-星座系列 123.10.38.21.01.001 机械男表,欧米茄,45510,
欧米茄Omega-星座系列 123.20.24.60.55.002 女士石英表 ,欧米茄,35465,
欧米茄Omega-星座系列 123.20.38.21.02.008 机械男表,欧米茄,65497.5,
欧米茄Omega-星座系列 123.20.35.20.01.002 机械男表,欧米茄,51352.5,
欧米茄Omega-星座系列 123.20.35.20.02.006 机械表,欧米茄,51352.5,
欧米茄Omega-星座系列 123.10.35.20.03.002 机械表,欧米茄,33210,
欧米茄Omega-星座系列 123.20.35.20.01.001 机械男表,欧米茄,51352.5,
欧米茄Omega-星座系列 123.10.38.21.06.001 机械男表,欧米茄,45510,
欧米茄Omega-碟飞系列 424.13.27.60.52.001 石英女表,欧米茄,22345,
欧米茄Omega-碟飞系列 424.10.40.20.02.004 自动机械男表,欧米茄,29212.5,
欧米茄Omega-星座系列 123.10.35.20.01.002 机械男表,欧米茄,33210,
欧米茄OMEGA-星座系列 123.10.38.21.02.002 机械男表,欧米茄,45612.5,
欧米茄Omega-海马系列 220.20.38.20.56.002 机械女表,欧米茄,89482.5,
欧米茄Omega-星座系列 123.10.38.21.02.004 自动机械男表,欧米茄,45612.5,
欧米茄Omega-星座系列 127.10.27.20.55.001 机械女表,欧米茄,52582.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-City都市系列-蓝色星空 19515/1,赫柏林,2497.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Perles珍珠系列-雅典娜女神 16,赫柏林,4165,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Antarès恒星系列-总统夫人同,赫柏林,5100,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Classiques经典系列-永恒绅士 1,赫柏林,2497.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-City都市系列 1669/04 男士自动,赫柏林,5437.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Metropole大都会系列-诺曼底公,赫柏林,6937.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-City都市系列-法国绅士 1669/07,赫柏林,5437.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Art Deco巴黎时尚系列-香榭丽,赫柏林,4100,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Newport纽波特系列 12264/AP17 男,赫柏林,4300,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Classiques经典系列 12443/P08GO ,赫柏林,2406.25,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Metropole大都会系列-法国骑士,赫柏林,3600,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin-Perles 珍珠系列 -赫拉王后- 16873/44,赫柏林,4410,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Metropole大都会系列-伯爵 1643/,赫柏林,6937.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Salambo永恒系列-初恋少女 1741,赫柏林,3300,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Inspiration灵感1947系列 1947/P11M,赫柏林,8023.75,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Newport Connect纽波特科技系列 ,赫柏林,4725,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Newport Connect纽波特科技系列 ,赫柏林,4725,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-City都市系列 19515/17MA 男士石,赫柏林,2062.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Antarès恒星系列 COF.17048/89OB ,赫柏林,6660,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin Classiques经典系列 16945/B59  女士石,赫柏林,2388.75,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-City都市系列 17015/24 男士石,赫柏林,2200,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin-Salambo 永恒系列 -睡美人- 17471/B89 ,赫柏林,4712.5,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin-Perles 珍珠系列 -玫瑰人生- 16873/BP,赫柏林,6600,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-City都市系列 19515/01 男士石,赫柏林,2025,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Antarès恒星系列 COF.17443/19WR ,赫柏林,3613.75,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Antarès恒星系列 COF.17443/01WBL ,赫柏林,3781.25,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Metropole大都会系列-拿破仑 16,赫柏林,7750,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Classiques经典系列 16945/B01 女,赫柏林,3600,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Ambassade法国大使系列 12250/B25,赫柏林,4712.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Inspiartion灵感1947系列 1947/T11M,赫柏林,7768.75,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Classiques经典系列 12443/P28GO ,赫柏林,1800,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林   1947/P11MA 16873/BP59   情侣表,赫柏林,18406.25,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Perles珍珠系列 17483/B08 女士,赫柏林,4500,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin 棕色情人结对表12443/P08GO、17478/P5,赫柏林,7137.5,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin-Antarès 恒星系列 COF.17447/08WLJ  女,赫柏林,5087.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Antarès恒星系列 COF.17447/29BLT ,赫柏林,5457.5,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Perles珍珠系列 17483/B59 女士,赫柏林,5500,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Classiques经典系列 12248/08 男,赫柏林,3000,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-City都市系列 19515/N24 男士石,赫柏林,2600,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-City都市系列 1669/14B 男士自,赫柏林,4725,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Epsilon灵动系列 19416/B01 男士,赫柏林,2306.25,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Newport Connect纽波特科技系列 ,赫柏林,4725,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Newport Connect纽波特科技系列 ,赫柏林,4725,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin- Grand Palais 巴黎大皇宫系列 17660/1,赫柏林,4800,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin-Newport 纽波特系列 1658/SQ12CW 女士,赫柏林,14625,
法国总统夫人之选 法国优雅时尚腕表品牌：Michel Herbelin赫柏林-Newport纽波特系列 18264/AP01BL ,赫柏林,4500,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin-Newport Connect纽波特科技系列 2017.G,赫柏林,6300,
法国总统夫人之选 法国优雅腕表品牌：赫柏林Michel Herbelin-Newport Connect纽波特科技系列 2017.L,赫柏林,6300,
精工SEIKO-Seiko 5系列 SRP605J2 自动机械男表,精工,1260,
精工SEIKO- Chronograph系列 SNDC31J1  男士石英表,精工,1473.75,
2017年新款！精工SEIKO-Presage 鸡尾酒系列 Espresso Martini SSA345J1 自动机械男表,精工,3087.5,
精工SEIKO-Seiko 5系列 SNKL47J1 机械男表,精工,1173.75,
2017新款！魏大勋同款！精工SEIKO- PROSPEX系列  SRPB99J1  机械男表,精工,2522.5,
精工SEIKO- ladies系列 SRKZ57J3 石英女表,精工,1543.75,
精工SEIKO- Chronograph系列  SNDC33J1 男士石英表,精工,1725,
精工SEIKO-Solar Chronograph系列 SSB095J1 石英男表,精工,1687.5,
精工SEIKO-Seiko 5系列 SRP601J1 自动机械男表,精工,1200,
精工SEIKO-Seiko 5系列 SYMH17J1  机械女表,精工,1450,
精工SEIKO-Seiko 5系列 SYMK19J1 自动机械女表,精工,1295,
2017年新款！精工SEIKO-Presage 鸡尾酒系列 Martini SSA341J1 自动机械男表,精工,3656.25,
2017年新款！精工SEIKO-Presage 鸡尾酒系列 Margarita SRPB44J1 自动机械男表,精工,2762.5,
精工SEIKO - Chronograph 计时码表系列 SSB089J1 石英男表,精工,1625,
精工SEIKO-Seiko 5系列 SNKE57J1 自动机械男表,精工,1110,
2017年新款！精工SEIKO-Presage 鸡尾酒系列 Manhattan SRPB46J1 自动机械男表,精工,3656.25,
2017年新款！精工SEIKO-Presage 鸡尾酒系列 Sidecar SSA346J1 自动机械男表,精工,3642.5,
精工SEIKO-Seiko 5系列 SNKE63J1 机械男表,精工,1110,
精工SEIKO- SEIKO 5系列 SNKP18K1 机械男表,精工,1387.5,
精工SEIKO-Lukia系列 SRP875J1 自动上链机械表,精工,2812.5,
2017年新款！精工SEIKO-Prospex系列 SRP777J1 200米防水 潜水机械男表  ,精工,3093.75,
精工SEIKO- Gents系列 SGEG97J2 石英男表,精工,1225,
精工SEIKO-Seiko 5系列 SNKN09J1 机械男表,精工,1202.5,
精工SEIKO-Presage 鸡尾酒系列 Skydiving SRPB43J1 自动机械男表,精工,2437.5,
精工SEIKO-Seiko 5系列 SNKN13J1 自动机械男表,精工,1202.5,
精工SEIKO-Seiko 5系列 SRP685J1 机械男表,精工,2062.5,
2017新款！致敬精工1965年首枚潜水表！精工SEIKO-Prospex系列 SPB051J1 机械男表,精工,7025,
精工SEIKO-领航5号系列 SNKM85J1 自动机械男表,精工,910,
下单送品牌好礼！精工SEIKO-Prospex系列 SNE435J1 太阳能男表 ,精工,2812.5,
精工SEIKO-Mens系列 SKP343J1 石英男表,精工,2250,
精工SEIKO-Prospex系列 SRPC25J1 机械男表,精工,2207.5,
精工SEIKO-Chronograph系列 SSB250J1 石英男表,精工,1593.75,
精工SEIKO-Prospex系列 SNKM87J1 自动机械男表,精工,1200,
精工SEIKO- prospex系列 SRP747J1 自动机械男表,精工,1748.75,
精工SEIKO-Kinetic系列 SKA685J1 人动电能石英男表,精工,1787.5,
精工SEIKO-Seiko 5系列 SRPC61J1 机械男表,精工,2043.75,
精工SEIKO-Seiko 5系列 SNKL45J1 机械男表,精工,1110,
2017新品！精工SEIKO- SEIKO 5系列 SRPB61J1 机械男表,精工,2356.25,
2017新款！精工SEIKO- PROSPEX系列  SSC617J1 太阳能 石英男表,精工,2681.25,
精工SEIKO-Seiko5 Sports系列 SRP739J1 自动机械男表,精工,1875,
2017新款！精工SEIKO-Chronograph系列 SSB201J1 石英男表,精工,1875,
精工SEIKO - PROSPEX系列 SSC407J1 计时多功能 太阳能男表,精工,2150,
精工SEIKO-Prospex系列 SSC663J1 石英男表,精工,3168.75,
2017新款！精工SEIKO-Prospex系列 SSC609J1 太阳能表,精工,4125,
精工SEIKO-石英系列 SUR237J1 石英女表,精工,1500,
精工SEIKO- Lukia系列 SRW785P1 石英女表,精工,1500,
2017年新款！精工SEIKO- SEIKO 5系列 SRPB31J1 机械男表,精工,2150,
2017新款！精工SEIKO-Kinetic系列 SKA689J1 石英男表,精工,1706.25,
瑞士进口 迪沃斯（DAVOSA）-Amaranto Quartz 阿玛兰托系列 16248015 石英男表,迪沃斯,1225,
【预计12月底到货】绿蛟龙！瑞士迪沃斯(DAVOSA)-DivinG 潜水系列 Ternos特勒斯 HC/200-绿 16155570 ,迪沃斯,6912.5,
瑞士进口 迪沃斯(DAVOSA) -Gentleman绅士系列 Classic 经典之作 16145615 机械男表,迪沃斯,6120,
瑞士进口 迪沃斯(DAVOSA) -Gentleman 绅士系列 Classic经典之作 16145632 机械男表(以实物为准）,迪沃斯,6120,
瑞士进口 迪沃斯(DAVOSA)-Pianos Quartz 钢琴家系列 16248626 石英男表 ,迪沃斯,1286.25,
瑞士进口 迪沃斯(DAVOSA) -Diving 潜水系列 Ternos特勒斯 HC/200-蓝 16155540 机械男表,迪沃斯,7312.5,
瑞士进口 迪沃斯(DAVOSA) -Gentleman 绅士系列 Classic经典之作 魅蓝绅士 16145611 机械男表,迪沃斯,6885,
瑞士进口 迪沃斯（DAVOSA）-Amaranto Quartz 阿玛兰托系列 16756122 石英女表,迪沃斯,2125,
瑞士进口 迪沃斯（DAVOSA）-Amaranto Quartz 阿玛兰托系列 16248026 石英男表,迪沃斯,2125,
瑞士进口 迪沃斯（DAVOSA）-Classic Quartz 经典系列 16246615 男士商务、石英表,迪沃斯,1975,
瑞士进口 迪沃斯（DAVOSA）- Classic Quartz 经典系列 16755655 石英女表（已绝版）,迪沃斯,2212.5,
瑞士进口 迪沃斯（DAVOSA）-Classic Quartz 经典系列 16346355 石英男表,迪沃斯,2537.5,
瑞士进口 迪沃斯DAVOSA-Diving 潜水系列 Argonautic Lumis 阿尔戈水手 16150960 机械男表,迪沃斯,8000,
瑞士进口 迪沃（DAVOSA）-Diving潜水系列 阿戈尔水手 BG 16152240 自动机械男表 ,迪沃斯,7625,
瑞士进口 迪沃斯（DAVOSA）-Classic Quartz 经典系列 16246715 石英男表,迪沃斯,1408.75,
瑞士进口 迪沃斯(DAVOSA) -Gentleman 绅士系列 Classic 经典之作 16145612 机械男表,迪沃斯,6120,
瑞士进口 迪沃斯(DAVOSA)-Pianos Quartz 钢琴家系列 16756626 石英女表,迪沃斯,1286.25,
瑞士进口 迪沃斯（DAVOSA）-Amaranto Quartz 阿玛兰托系列 16248022 石英男表,迪沃斯,2125,
【职场精英推荐】瑞士进口 迪沃斯DAVOSA-Gentleman 绅士系列 Classic 经典之作 16145651 机械男表,迪沃斯,6120,
瑞士进口 迪沃斯（DAVOSA）-Innovation 杰作系列 16156155 机械男表,迪沃斯,8250,
瑞士进口 迪沃斯（DAVOSA）-Diving潜水系列 Apnea Diver无氧潜水员 16156855 机械男表（赠送表带）,迪沃斯,9437.5,
瑞士进口 迪沃斯(DAVOSA)-Pianos Quartz 钢琴家系列 16248626、16756626 石英情侣表,迪沃斯,4425,
瑞士进口 迪沃斯（DAVOSA）-Classic Quartz 经典系列 16856915 石英女表（已绝版）,迪沃斯,2900,
瑞士进口 迪沃斯(DAVOSA)-Pianos Quartz 钢琴家系列 16248515 石英男表 ,迪沃斯,1712.5,
瑞士进口 迪沃斯（DAVOSA）-Classic Quartz 经典系列 16755615 女士石英表（已绝版）,迪沃斯,2212.5,
瑞士进口 迪沃斯（DAVOSA）-Classic Quartz 经典系列 16346715 男士石英表,迪沃斯,3187.5,
瑞士进口 迪沃斯（DAVOSA）-Classic Quartz 经典系列 16346315 男士石英表,迪沃斯,2537.5,
瑞士进口 迪沃斯(DAVOSA)- Gentleman 绅士系列 Flatline智雅 16248315 石英男表,迪沃斯,2712.5,
